W,V,R,L,C,D
232.99518105153717,3.4836734693877545,13.892857142857144,5.922448979591836,7.51,0
100.0,8.635714285714284,4.5285714285714285,1.6410204081632653,1.51,0
2559.547922699536,1.9683673469387752,2.492857142857143,1.029387755102041,2.01,0
308.88435964774817,6.514285714285714,3.307142857142857,1.437142857142857,7.51,0
2222.9964825261955,1.3622448979591835,9.821428571428573,6.737959183673469,5.01,0
1930.6977288832495,13.787755102040816,15.521428571428572,0.41775510204081634,4.01,1
132.57113655901094,7.120408163265306,8.600000000000001,7.75734693877551,4.51,0
3906.939937054617,3.7867346938775506,6.157142857142857,2.2526530612244895,9.01,0
9102.981779915217,3.180612244897959,3.307142857142857,1.029387755102041,9.01,0
2222.9964825261955,0.7561224489795918,13.485714285714286,7.961224489795918,1.01,0
308.88435964774817,8.029591836734694,5.3428571428571425,9.592244897959183,8.51,1
100000.0,7.726530612244898,17.964285714285715,0.8255102040816327,6.01,0
65512.85568595509,0.15,7.378571428571428,3.4759183673469387,2.51,0
49417.13361323838,9.847959183673469,7.378571428571428,2.0487755102040817,0.01,1
4498.432668969444,0.15,14.3,7.75734693877551,9.51,0
15998.587196060573,1.0591836734693876,1.6785714285714286,2.4565306122448978,6.51,0
6866.488450042998,1.0591836734693876,15.114285714285716,3.679795918367347,1.01,0
1264.8552168552958,4.089795918367347,1.6785714285714286,4.0875510204081635,1.01,1
202.35896477251575,14.393877551020408,7.785714285714286,7.553469387755102,8.51,1
49417.13361323838,4.6959183673469385,13.892857142857144,0.01,9.01,0
2222.9964825261955,0.7561224489795918,9.414285714285715,6.1263265306122445,6.01,0
15998.587196060573,1.6653061224489794,10.22857142857143,4.903061224489796,5.01,0
5179.474679231213,5.302040816326531,0.05,5.310816326530612,6.01,1
308.88435964774817,1.3622448979591835,2.9,3.2720408163265304,4.51,0
132.57113655901094,6.514285714285714,16.742857142857144,8.980612244897959,8.01,0
202.35896477251575,6.514285714285714,8.192857142857143,5.310816326530612,3.51,0
24420.5309454865,4.6959183673469385,7.378571428571428,5.922448979591836,1.51,0
625.0551925273976,0.7561224489795918,6.564285714285714,0.8255102040816327,0.51,0
10481.131341546852,0.4530612244897959,10.22857142857143,3.883673469387755,2.01,0
3906.939937054617,0.7561224489795918,11.857142857142858,1.233265306122449,9.51,0
18420.699693267165,14.696938775510203,12.671428571428573,1.233265306122449,7.51,1
15998.587196060573,5.605102040816327,0.8642857142857143,5.514693877551021,3.51,0
1098.5411419875584,11.96938775510204,0.8642857142857143,8.77673469387755,2.51,1
32374.5754281764,8.029591836734694,2.492857142857143,0.01,2.51,1
9102.981779915217,15.0,11.450000000000001,10.0,4.01,1
355.64803062231283,11.96938775510204,11.450000000000001,9.388367346938775,6.01,1
9102.981779915217,3.4836734693877545,14.707142857142857,9.796122448979592,4.51,0
37275.93720314938,14.393877551020408,7.785714285714286,4.291428571428571,6.01,1
954.0954763499944,12.272448979591836,4.121428571428571,1.233265306122449,5.51,1
115.1395399326447,6.514285714285714,14.3,8.980612244897959,5.51,0
625.0551925273976,7.120408163265306,16.335714285714285,8.368979591836734,6.01,1
7906.043210907702,5.605102040816327,19.185714285714287,3.068163265306122,4.51,0
1264.8552168552958,15.0,0.05,3.4759183673469387,6.51,1
100000.0,1.6653061224489794,12.671428571428573,1.029387755102041,5.51,0
10481.131341546852,6.514285714285714,15.928571428571429,4.291428571428571,7.51,0
49417.13361323838,4.089795918367347,7.378571428571428,3.2720408163265304,6.01,0
202.35896477251575,15.0,3.307142857142857,5.922448979591836,2.51,1
86851.13737513521,2.877551020408163,16.742857142857144,6.941836734693878,0.51,0
2947.0517025518097,13.484693877551019,15.928571428571429,3.068163265306122,8.01,1
32374.5754281764,3.180612244897959,4.121428571428571,5.106938775510204,5.01,0
1676.8329368110083,4.6959183673469385,6.564285714285714,3.679795918367347,5.01,1
1098.5411419875584,14.09081632653061,11.450000000000001,0.01,1.51,0
1098.5411419875584,12.272448979591836,16.742857142857144,2.4565306122448978,5.51,1
9102.981779915217,14.696938775510203,0.45714285714285713,8.572857142857142,6.01,1
9102.981779915217,0.7561224489795918,9.821428571428573,3.068163265306122,9.01,0
3393.2217718953298,11.363265306122448,13.07857142857143,4.6991836734693875,8.01,1
2947.0517025518097,7.423469387755102,0.8642857142857143,8.165102040816327,4.51,1
7906.043210907702,3.7867346938775506,11.857142857142858,7.349591836734694,5.51,0
42919.34260128778,3.7867346938775506,15.114285714285716,2.660408163265306,9.01,0
268.26957952797244,14.09081632653061,4.121428571428571,0.01,0.01,0
18420.699693267165,7.726530612244898,13.892857142857144,4.495306122448979,6.51,1
13894.95494373136,1.9683673469387752,4.121428571428571,0.8255102040816327,7.01,0
86851.13737513521,6.8173469387755095,11.857142857142858,0.01,2.51,0
268.26957952797244,10.757142857142856,11.450000000000001,8.572857142857142,3.51,0
13894.95494373136,6.8173469387755095,18.77857142857143,3.4759183673469387,9.01,0
1676.8329368110083,12.878571428571428,9.007142857142858,10.0,5.51,1
100.0,15.0,4.935714285714286,9.388367346938775,4.01,0
100.0,11.96938775510204,0.8642857142857143,8.368979591836734,4.51,0
115.1395399326447,9.241836734693877,13.07857142857143,8.368979591836734,5.51,0
7906.043210907702,9.544897959183674,8.600000000000001,6.1263265306122445,0.01,1
32374.5754281764,11.363265306122448,20.0,1.8448979591836736,9.01,1
268.26957952797244,1.6653061224489794,4.121428571428571,1.6410204081632653,9.51,0
268.26957952797244,1.0591836734693876,6.9714285714285715,8.368979591836734,9.01,0
5179.474679231213,8.635714285714284,15.521428571428572,1.6410204081632653,2.01,1
18420.699693267165,13.484693877551019,9.821428571428573,2.660408163265306,6.51,1
21209.508879201927,2.574489795918367,2.0857142857142854,0.8255102040816327,6.51,0
542.867543932386,5.605102040816327,11.450000000000001,8.77673469387755,6.01,1
232.99518105153717,2.271428571428571,14.707142857142857,4.495306122448979,8.01,0
12067.92640639329,0.15,0.45714285714285713,8.980612244897959,4.51,0
32374.5754281764,7.423469387755102,7.785714285714286,3.883673469387755,0.51,1
37275.93720314938,5.605102040816327,11.042857142857143,0.6216326530612245,6.01,0
